# 青空文庫カタログ（作者名・作品名）の未収録文字。
# 2026-07-23 集計で出現回数 6 回以上。20 位の同率を含む。
7C4C  # 籌
8C98  # 貘
71C1  # 燁
96B2  # 隲
309D  # ゝ
8606  # 蘆
6FE4  # 濤
8805  # 蠅
3090  # ゐ
85EA  # 藪
9E1A  # 鸚
8317  # 茗
7669  # 癩
8759  # 蝙
8760  # 蝠
8420  # 萠
8AE7  # 諧
87C7  # 蟇
7912  # 礒
8CE4  # 賤
9952  # 饒

# 次点: 作品数50以上の作家79名・12,486作品を対象に、3回以上出現した未収録文字。
309E  # ゞ
7240  # 牀
9D5E  # 鵞
8DCB  # 跋
5F59  # 彙
FF3C  # ＼
8862  # 衢
6DEA  # 淪
6BEC  # 毬
6A05  # 樅
5632  # 嘲
7FB9  # 羹
6E38  # 游
4F8F  # 侏
7D68  # 絨
7C43  # 籃
91F5  # 釵
7E0A  # 縊
9AF7  # 髷
55A9  # 喩
5484  # 咄
9AEF  # 髯
7587  # 疇
98B1  # 颱
9B91  # 鮑
980C  # 頌
59E8  # 姨
66FC  # 曼
57C3  # 埃
3091  # ゑ
7FF3  # 翳
4FCE  # 俎
6292  # 抒
8AF7  # 諷
9E1E  # 鸞
